objectid;number;name;type;address;y_wgs;x_wgs;
60;32;San Martin y Virgen del Carmen de Cuyo;Punto Verde;San Martin y Virgen del Carmen de Cuyo;-32,898270000000004;-68,841350000000006
61;32;Pedro Molina y Mitre;Rulero;Pedro Molina y Mitre;-32,896319999999996;-68,845839999999995
62;33;Escuela Mitre;Punto Verde;San Juan 417;-32,898750000000000;-68,839029999999994
63;33;Pedro Molina y San Martin;Rulero;Pedro Molina y San Martin;-32,896550000000005;-68,841290000000001
64;34;Plaza Belgrano (B°Bombal);Punto Verde;Cap. Moyano 475;-32,901310000000002;-68,848900000000000
65;35;Escuela Mitre;Rulero;San Juan 417;-32,862299999999998;-68,834209999999999
66;36;Palero y Semorille;Punto Verde;Palero y Semorille;-32,901139999999998;-68,852850000000004
67;36;Plazoleta La Paz;Punto Verde;Mariano Moreno 300-202;-32,902259999999998;-68,854179999999999
68;36;Plaza Caseros;Rulero;Av. España 16;-32,902730000000005;-68,845669999999998
71;38;Plaza la Paz;Rulero;Plazoleta La Paz;-32,902169999999998;-68,854280000000003
59;31;Pedro Molina y Peru;Rulero;Pedro Molina y Peru;-32,881230000000002;-68,797260000000009
73;39;Palero;Rulero;Martín Palero 70;-32,885479999999994;-68,855060000000009
74;40;Plaza Belgrano;Rulero;La Pampa 300-172;-32,901430000000005;-68,848369999999989
75;41;P. B. Palacios y Alem;Rulero;P. B. Palacios y Alem;-32,893050000000002;-68,832310000000007
